,agerank2,Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes.,tuber,tuber2,tuber3,root,wgt_avg,obs,rel_biomass2
207,3,Cor C. 135-19,Cor C 135,chil,3,Low,Virgin,3,287,,96.69,96.69,96.69,1.45,46.9462069,29,2.059591315
208,3,P. Cacho-22,P. Cacho,chil,3,High,Virgin,2,350,,157.52,157.52,157.52,2.49,46.9462069,29,3.355329651
209,3,Cor C.56-10,Cor C56,chil,3,Low,Hancock,2,191,,59.84,59.84,59.84,1.53,46.9462069,29,1.27465037
210,3,Cor C.56-20,Cor C56,chil,3,Low,Virgin,4,187,,84.02,84.02,84.02,3.81,46.9462069,29,1.789707956
211,3,Cor C.95-17,Cor C95,chil,3,Low,Virgin,1,264,,59.35,59.35,59.35,1.89,46.9462069,29,1.264212892
212,3,Cor C.95-19,Cor C95,chil,3,Low,Virgin,3,124,,59.62,59.62,59.62,2.35,46.9462069,29,1.269964156
213,3,P. Cacho-2,P. Cacho,chil,3,Low,Sterile,2,369,,102.25,102.25,102.25,1.25,46.9462069,29,2.178024739
214,3,Cor C.95-4,Cor C95,chil,3,Low,Sterile,4,393,,81.54,81.54,81.54,7.73,46.9462069,29,1.736881537
215,3,Cor C.95-11,Cor C95,chil,3,Low,Hancock,3,36,Flowering,30.26,30.26,143.21,6.92,46.9462069,29,3.050512692
216,3,Cor C.95-10,Cor C95,chil,3,Low,Hancock,2,175,,96.12,96.12,96.12,2.11,46.9462069,29,2.047449759
217,3,P. Cacho-15,P. Cacho,chil,3,High,Hancock,3,54,,50.43,50.43,50.43,8.23,46.9462069,29,1.074208191
218,3,Cor C.56-16,Cor C56,chil,3,High,Hancock,4,143,,82.8,82.8,82.8,11.04,46.9462069,29,1.763720766
219,3,P. Cacho-3,P. Cacho,chil,3,Low,Sterile,3,404,,NA,0,89.81,1.17,46.9462069,29,1.913040604
