Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
Wac 735,Wac 735,and,2,2,3,High,Hancock,2,362,5,,46.15,18.23,1.77,0.097092704,0.02749301,66.15
WAC 663,WAC 663,and,2,2,3,Low,Sterile,3,374,5,,1.62,5.24,0.67,0.127862595,0.097667638,7.53
Wac 735,Wac 735,and,2,2,3,High,Hancock,4,381,5,,0,30.8,8.94,0.29025974,0.29025974,39.74
WAC 5,WAC 5,and,2,2,3,Low,Hancock,2,382,5,,30.44,8.99,4.97,0.552836485,0.126046158,44.4
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,4,391,5,,35.87,7.87,2.72,0.345616264,0.062185642,46.46
Huagalina,Huagalina,and,2,2,3,High,Sterile,3,396,5,,16.84,41.11,9.25,0.225006081,0.159620362,67.2
Huagalina,Huagalina,and,2,2,3,Low,Sterile,1,397,5,,57.67,7.81,6.57,0.841229193,0.10033598,72.05
Huagalina,Huagalina,and,2,2,3,High,Virgin,3,398,5,,36.63,35.14,5.87,0.167046101,0.081789048,77.64
WAC 663,WAC 663,and,2,2,3,High,Hancock,3,400,5,,0,28.24,5.71,0.202195467,0.202195467,33.95
Cor C.95-2,Cor C95,chil,3,3,2,Low,Sterile,2,10,1,,18.35,3.54,1.12,0.316384181,0.051164915,23.01
Cor C.56-13,Cor C56,chil,3,3,2,High,Hancock,1,11,1,,0,33.9,2.91,0.085840708,0.085840708,36.81
Cor C. 135-11,Cor C 135,chil,3,3,2,Low,Hancock,3,23,1,,0,9.95,2.05,0.206030151,0.206030151,12
P. Cacho-6,P. Cacho,chil,3,3,2,High,Sterile,2,26,1,,0,24.1,9.96,0.413278008,0.413278008,34.06
Cor C.95-11,Cor C95,chil,3,3,2,Low,Hancock,3,36,1,Flowering,143.21,7.92,6.92,0.873737374,0.045788394,158.05
Cor C.95-12,Cor C95,chil,3,3,2,Low,Hancock,4,41,1,,0,8.81,2.42,0.274687855,0.274687855,11.23
Cor C.56-8,Cor C56,chil,3,3,2,High,Sterile,4,42,1,,20.16,47.42,7.6,0.160269928,0.112459307,75.18
P. Cacho-14,P. Cacho,chil,3,3,2,High,Hancock,2,47,1,,36.78,21.03,5.4,0.256776034,0.093409445,63.21
P. Cacho-5,P. Cacho,chil,3,3,2,High,Sterile,1,52,1,,30.65,19.52,8.66,0.443647541,0.172613115,58.83
P. Cacho-15,P. Cacho,chil,3,3,2,High,Hancock,3,54,1,,50.43,28.66,8.23,0.287159805,0.104058667,87.32
P. Cacho-21,P. Cacho,chil,3,3,2,High,Virgin,1,56,1,,18.94,16.99,8.12,0.477928193,0.22599499,44.05
Cor C. 135-17,Cor C 135,chil,3,3,2,Low,Virgin,1,58,1,,9.76,3.13,0.85,0.271565495,0.065942591,13.74
Cor C.95-5,Cor C95,chil,3,3,2,High,Sterile,1,59,1,,0,42.37,33.02,0.779324994,0.779324994,75.39
Cor C.95-23,Cor C95,chil,3,3,2,High,Virgin,3,60,1,,0,38.17,20.92,0.548074404,0.548074404,59.09
Cor C. 135-9,Cor C 135,chil,3,3,2,Low,Hancock,1,66,1,,34.45,5,2.25,0.45,0.057034221,41.7
Cor C.56-24,Cor C56,chil,3,3,2,High,Virgin,4,68,1,,4.19,38.89,4.59,0.118025199,0.106545961,47.67
Cor C.95-9,Cor C95,chil,3,3,2,Low,Hancock,1,76,1,,19.64,7.22,5.19,0.718836565,0.193224125,32.05
