Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
Garnet-14,Garnet,chil,4,High,Hancock,2,311,,166.3,166.3,31.14,4.95,3.320852678,,3.320852678
Garnet-15,Garnet,chil,4,High,Hancock,3,399,,,0,26.76,5.06,0,,0
Garnet-5,Garnet,chil,4,High,Sterile,1,348,,,0,21.53,6.27,0,50.0775,0
Garnet-6,Garnet,chil,4,High,Sterile,2,360,,100.8,100.8,17.05,3.29,2.012880036,,2.012880036
Garnet-7,Garnet,chil,4,High,Sterile,3,145,,99.51,99.51,2.39,1.35,1.987119964,,1.987119964
Garnet-8,Garnet,chil,4,High,Sterile,4,223,,,0,36.58,10.62,0,,0
Garnet-21,Garnet,chil,4,High,Virgin,1,221,,148.48,148.48,28.45,4.08,2.965004243,,2.965004243
Garnet-22,Garnet,chil,4,High,Virgin,2,37,,81.77,81.77,42.14,5.41,1.632869053,,1.632869053
Garnet-24,Garnet,chil,4,High,Virgin,4,163,,80.57,80.57,42.35,4.34,1.608906195,,1.608906195
Garnet-10,Garnet,chil,4,Low,Hancock,2,32,,92.08,92.08,4.74,1.08,1.099659641,,1.099659641
Garnet-12,Garnet,chil,4,Low,Hancock,4,201,,81.04,81.04,3,0.75,0.967815131,,0.967815131
Garnet-9,Garnet,chil,4,Low,Hancock,1,74,,85.48,85.48,5.17,0.94,1.020839553,,1.020839553
Garnet-1,Garnet,chil,4,Low,Sterile,1,38,,47.93,47.93,1.71,0.48,0.572401027,83.735,0.572401027
Garnet-2,Garnet,chil,4,Low,Sterile,2,118,,90.73,90.73,2.23,1.22,1.08353735,,1.08353735
Garnet-3,Garnet,chil,4,Low,Sterile,3,69,,45.37,45.37,1.99,0.76,0.541828387,,0.541828387
Garnet-4,Garnet,chil,4,Low,Sterile,4,394,,150.91,150.91,7.03,1.73,1.802233236,,1.802233236
Garnet-17,Garnet,chil,4,Low,Virgin,1,20,,75.02,75.02,2.03,1.2,0.895921658,,0.895921658
Garnet-18,Garnet,chil,4,Low,Virgin,2,105,,73.13,73.13,2.15,1.3,0.873350451,,0.873350451
Garnet-19,Garnet,chil,4,Low,Virgin,3,115,,70.45,70.45,2.76,1.16,0.841344718,,0.841344718
Garnet-20,Garnet,chil,4,Low,Virgin,4,336,,125.37,125.37,4.15,2,1.497223383,,1.497223383
P. Cacho-14,P. Cacho,chil,3,High,Hancock,2,47,,36.78,36.78,21.03,5.4,1.221521089,,1.221521089
